Pressure Sensor,Temperature Sensor,Flow Sensor,Vibration Sensor,Gas Sensor,Position Sensor,Tension Sensor,Acoustic Sensor,Humidity Sensor,Optical Sensor,Magnetic Sensor,Seismic Sensor,Chemical Sensor,Rate of Penetration Sensor,Weight on Bit Sensor,RPM Sensor,Leak Detection Sensor,Corrosion Sensor,Timestamp,Location,NMR Sensor (Porosity %),NMR Sensor (Permeability mD),NMR Sensor (T2 Relaxation Time ms),NMR Sensor (T1 Relaxation Time ms),Resistivity Sensor (ohm-m),Gamma Ray Sensor (API Units),Density Sensor (g/cm³),Neutron Sensor (Porosity %)
1072.395,222.169,3274.532,44.532,820.896,87.821,33.637,13048.078,76.229,514.397,4.497,1.387,38.758,41.975,46288.902,355.429,1.928,3.907,1997-10-31 09:57:45.737152,Site-16,2.0584494295802447,28.08,414.12,1198.61,933.66,2,1.864,94.53
2368.564,417.679,4877.957,45.077,550.57,137.973,381.689,19314.163,65.185,612.03,0.542,1.417,87.075,183.76,40424.061,162.545,8.494,7.509,1997-11-01 09:57:45.737152,Site-3,96.99098521619943,35.33,324.86,9232.13,83.28,46,2.452,72.25
4705.675,544.402,6668.993,36.631,357.468,85.701,86.183,16226.462,85.505,519.288,6.656,0.206,85.113,182.701,41047.685,199.82,5.431,5.899,1997-11-02 09:57:45.737152,Site-1,83.24426408004217,16.25,846.29,6627.81,108.9,279,2.814,46.28
8003.775,13.907,4232.767,33.02,615.579,124.411,486.877,8942.78,57.528,451.516,6.89,1.471,78.869,199.799,23843.246,287.444,7.868,5.495,1997-11-03 09:57:45.737152,Site-11,21.233911067827616,34.54,905.4,9517.93,994.19,238,2.019,95.22
18397.272,330.793,1123.445,10.947,572.557,141.2,235.939,4750.056,97.983,468.481,3.153,1.287,38.911,162.842,36860.648,284.228,7.193,6.415,1997-11-04 09:57:45.737152,Site-37,18.182496720710063,14.33,451.94,5828.55,971.39,70,2.365,72.13
10208.742,93.1,6450.377,45.741,775.479,339.867,166.739,12619.409,9.913,596.465,2.246,1.659,61.844,83.696,73809.331,396.397,4.538,6.425,1997-11-05 09:57:45.737152,Site-41,18.34045098534338,20.13,9.16,4617.87,771.72,215,2.343,95.19
1726.843836482225,173.55762950375438,0.1,25.27804245494988,73.72438232375947,286.6216839548103,468.2142508127399,17876.89360815936,4.476808053026794,627.833355373747,0.2739947423211796,1.7857472449110086,11.941980522493376,139.79555332825117,75859.45348803168,478.63922910200506,8.690187530832269,0.6233996246629551,1997-11-06 09:57:45.737152,Site-28,30.42422429595377,15.26,792.55,7923.64,484.24,200,1.684,70.46
10703.995,347.98,2112.299,35.533,766.387,355.285,438.778,4072.705,78.833,612.85,6.957,1.72,56.114,16.807,46976.853,347.669,8.919,4.176,1997-11-07 09:57:45.737152,Site-32,52.475643163223786,12.71,285.14,1610.26,506.11,53,1.631,7.77
9998.617,363.523,6121.582,23.631,440.512,54.8,283.013,6443.152,91.338,599.195,2.978,1.298,53.338,79.253,65783.533,319.577,9.459,9.408,1997-11-08 09:57:45.737152,Site-2,43.19450186421157,10.08,9.99,3814.0,257.29,111,2.79,61.63
7726.23,18.466,7161.293,19.026,291.948,178.15,372.083,2230.505,27.936,503.631,5.434,0.102,51.948,39.464,51658.079,190.087,4.077,2.517,1997-11-09 09:57:45.737152,Site-11,29.122914019804192,32.06,805.01,4663.28,432.79,274,2.854,98.03
2319.435,439.965,7450.609,17.62,917.691,180.024,252.445,7274.414,77.887,676.256,1.476,1.003,23.28,107.6,5777.824,399.509,4.431,2.041,1997-11-10 09:57:45.737152,Site-41,61.18528947223795,74.49,517.46,2985.29,431.41,221,2.811,21.42
16085.83,282.748,5986.133,45.079,31.697,90.202,435.949,5327.621,89.158,558.133,5.622,0.603,90.748,99.527,66544.086,416.192,4.925,3.921,1997-11-11 09:57:45.737152,Site-25,13.949386065204184,64.79,685.24,3713.48,36.19,228,2.075,79.27
16026.517,109.721,6581.585,18.127,876.833,102.866,466.32,10204.69,65.167,497.737,9.725,1.145,45.267,39.711,64576.326,155.361,3.456,9.564,1997-11-12 09:57:45.737152,Site-12,29.21446485352181,5.72,914.7,781.97,453.21,169,1.917,18.46
12367.01814033749,542.912288883443,3022.9850484444705,17.367162636847137,637.987707378175,82.88478725492355,222.9733803494348,11581.6382056136,72.49793886846967,585.9804017314187,7.392869839374075,0.6241443811070934,85.33277591560928,88.0913829163602,80353.80140659139,446.1044915231776,3.43557797352783,6.642530107747663,1997-11-13 09:57:45.737152,Site-40,36.63618432936917,72.91,541.22,1980.64,479.85,199,2.866,45.22
6259.57,199.732,5148.348,18.223,114.489,274.893,73.251,9001.96,45.085,682.68,1.046,1.733,80.604,94.98,66442.574,7.665,5.746,3.236,1997-11-14 09:57:45.737152,Site-17,45.6069984217036,14.61,503.24,3355.63,665.82,152,2.78,8.47
1157.027,325.219,1731.403,34.43,369.606,359.827,475.21,10880.007,5.441,649.654,9.748,0.861,71.779,70.105,55292.672,240.997,3.913,0.439,1997-11-15 09:57:45.737152,Site-46,78.51759613930136,36.63,290.73,7959.11,516.5,222,2.689,34.06
14281.499,404.557,2333.663,30.418,290.986,296.236,250.05,5540.118,62.422,543.521,4.381,1.272,84.785,99.319,69773.289,304.476,2.451,2.465,1997-11-16 09:57:45.737152,Site-22,19.96737821583597,8.12,305.26,1825.79,861.7,219,1.985,77.62
14066.474,385.607,9293.759,42.696,962.383,257.062,274.179,19498.513,14.209,469.791,5.622,0.092,55.003,187.976,77621.733,320.153,6.708,4.022,1997-11-17 09:57:45.737152,Site-9,51.42344384136116,23.15,796.56,3467.06,367.63,9,2.426,4.53
14565.724,130.767,3496.358,30.728,731.019,112.756,275.506,8478.728,86.063,662.439,1.73,0.364,36.432,167.586,91781.783,280.447,8.934,3.54,1997-11-18 09:57:45.737152,Site-23,59.24145688620425,27.49,449.08,650.14,409.78,189,2.588,32.02
14405.997,56.337,4611.918,23.39,505.544,144.225,100.003,7827.537,68.545,604.296,6.603,1.311,83.283,185.063,55656.5,177.618,7.404,7.382,1997-11-19 09:57:45.737152,Site-1,4.645041271999773,4.55,163.61,5571.49,571.53,188,2.335,62.98
4552.393,482.07,9952.673,34.646,692.623,152.362,404.47,16452.328,95.219,438.672,2.665,0.159,40.624,158.033,95014.93,33.417,7.688,7.341,1997-11-20 09:57:45.737152,Site-25,60.75448519014384,36.9,94.62,6112.9,202.8,20,2.373,94.86
19604.396,2.366,6244.113,15.468,301.485,254.52,200.954,19042.091,59.099,543.728,7.807,1.081,6.257,42.833,19940.483,55.948,7.375,2.33,1997-11-21 09:57:45.737152,Site-34,17.052412368729154,77.16,472.97,8655.3,393.56,123,2.597,24.54
13969.446,21.205,9097.754,26.915,510.861,333.103,281.02,16914.899,26.125,425.07,5.015,0.015,86.902,195.592,17844.868,377.128,7.666,3.122,1997-11-22 09:57:45.737152,Site-46,6.505159298527952,16.87,465.01,8191.34,686.2,269,2.612,17.32
2466.521,589.252,6540.669,14.056,1.642,207.623,449.499,9629.652,4.023,594.118,7.88,0.746,11.331,116.892,73494.629,76.694,4.932,0.533,1997-11-23 09:57:45.737152,Site-29,94.88855372533332,78.27,653.49,2854.49,411.87,286,1.848,20.37
16333.634,270.989,161.316,23.645,951.12,202.588,51.619,2388.196,83.643,403.214,6.569,1.015,2.252,177.833,14302.974,433.878,3.586,1.065,1997-11-24 09:57:45.737152,Site-5,96.56320330745594,16.62,471.12,1370.4,906.63,234,2.066,23.68
14157.12219061327,135.84730497638668,8512.151710546348,13.285706709774225,666.6337295654935,165.56854759196958,75.5098032982552,17720.46557802258,6.482605909008039,485.3499633150652,0.118598367514484,0.001,9.346298559536928,139.6803979158723,34124.182874615515,345.6209423702093,4.315587923582438,2.0248705919149086,1997-11-25 09:57:45.737152,Site-19,80.83973481164611,46.97,143.56,1561.68,615.34,45,2.633,63.83
12631.404771484446,221.03852324907984,7975.85165834847,30.29476219108894,0.0,282.3881587831558,206.13285924754305,7823.074824499655,0.0,638.9501021525003,3.872820813315996,1.3326559871666042,96.54166662496117,13.553458802396976,11634.073395331345,220.77874991117432,4.1475550044278044,2.8911655509536267,1997-11-26 09:57:45.737152,Site-18,30.46137691733707,2.18,507.85,9689.67,153.85,112,1.879,99.87
16438.736,137.53,2401.867,45.169,137.947,197.627,472.127,18394.264,92.095,689.384,5.449,0.272,71.925,24.031,4986.253,323.317,7.071,1.925,1997-11-27 09:57:45.737152,Site-6,9.767211400638388,225.6,906.8,6732.58,487.5,54,2.828,52.36
16626.66,276.559,7282.287,12.99,271.816,86.854,58.371,4609.711,76.182,436.717,9.567,1.893,24.876,75.145,62660.65,301.067,2.152,8.922,1997-11-28 09:57:45.737152,Site-31,68.42330265121569,89.61,159.53,426.67,764.8,195,2.716,27.14
11261.003,44.0,993.664,37.07,239.525,179.833,170.262,14209.826,35.249,564.246,6.876,1.909,68.529,54.193,91746.291,7.733,5.349,8.836,1997-11-29 09:57:45.737152,Site-3,44.01524937396013,15.11,689.79,1368.66,643.38,231,2.798,74.7
16949.60765344881,-24.812050958426298,6784.605317142526,19.53476040225995,448.8864769321574,334.24542803085075,285.68808526556194,15286.496014347273,11.756154037466196,434.5685119489192,2.8268012881276814,0.9004249162003484,88.34210649489833,200.0,62062.704148373065,485.3896568709312,3.825537315978102,6.161727090673872,1997-11-30 09:57:45.737152,Site-42,12.203823484477883,2.8,593.9,4858.51,885.28,265,1.931,15.83
12730.351,557.543,1687.447,49.299,669.061,319.08,16.333,10948.056,31.472,482.638,2.566,1.408,44.576,47.743,77889.481,133.329,0.15,8.006,1997-12-01 09:57:45.737152,Site-36,49.51769101112702,26.79,748.61,2079.08,750.01,258,1.652,3.0
13892.307,137.443,449.217,39.68,431.46,82.886,366.138,2034.52,18.49,656.138,7.846,1.301,52.597,42.725,16003.65,362.825,4.205,3.109,1997-12-02 09:57:45.737152,Site-26,3.43885211152184,4.74,150.69,8036.79,61.71,29,1.646,60.53
16054.809,106.293,8072.691,0.011,431.534,172.641,10.697,8015.106,81.994,641.479,7.055,0.588,47.592,172.963,28624.115,297.509,3.372,2.917,1997-12-03 09:57:45.737152,Site-6,90.9320402078782,31.34,941.61,5732.6,112.6,37,2.306,21.03
3605.33,578.448,9238.705,32.28,55.916,15.722,187.837,276.569,58.561,529.999,7.719,0.085,52.716,105.025,97850.842,337.444,2.8,3.833,1997-12-04 09:57:45.737152,Site-7,25.87799816000169,30.31,621.0,6126.71,649.78,272,1.943,39.92
16007.678,350.929,5290.373,46.871,206.794,168.173,7.172,17089.257,94.157,570.601,5.903,0.922,48.52,56.318,70505.864,159.475,6.924,9.829,1997-12-05 09:57:45.737152,Site-15,66.2522284353982,7.83,847.09,4628.79,238.48,253,1.882,23.11
11030.09,122.923,2175.4,27.23,268.758,292.13,477.876,10468.095,28.719,580.975,6.815,1.841,87.462,47.087,67975.571,170.764,7.069,0.988,1997-12-06 09:57:45.737152,Site-14,31.171107608941096,61.62,246.68,2561.37,587.88,138,1.822,91.81
10487.434,0.119,3.749,47.436,819.228,350.38,473.444,17687.492,82.167,459.31,6.749,0.504,60.886,66.019,21966.325,33.437,2.165,7.799,1997-12-07 09:57:45.737152,Site-26,52.00680211778108,44.95,739.44,5894.45,792.24,129,2.315,33.8
3507.528,65.654,248.153,23.715,10.634,61.808,264.326,10550.763,31.229,573.974,3.318,0.16,73.786,193.431,10362.444,24.535,2.258,7.508,1997-12-08 09:57:45.737152,Site-5,54.67102793432797,53.29,781.05,7169.98,576.97,165,2.295,44.91
7243.468,505.547,8852.897,16.596,299.239,267.406,370.194,6902.039,10.025,472.073,8.73,0.948,21.529,90.73,61704.722,398.959,8.824,5.3,1997-12-09 09:57:45.737152,Site-27,18.485445552552704,20.26,397.5,3710.11,415.55,178,2.112,23.48
15886.658,42.511,6399.943,22.928,280.737,147.683,8.756,10083.898,64.359,677.44,8.832,0.85,80.502,153.286,9796.095,211.155,6.913,5.908,1997-12-10 09:57:45.737152,Site-46,96.95846277645586,4.88,384.02,5049.93,646.31,76,1.701,8.49
17977.677,115.508,143.407,11.577,260.332,224.577,240.484,4784.126,1.482,503.692,4.015,1.58,10.93,13.426,98942.081,15.756,0.918,6.824,1997-12-11 09:57:45.737152,Site-15,77.51328233611146,53.4,657.83,8397.0,143.71,121,2.847,51.26
18420.649,78.196,7284.599,45.506,726.178,61.988,285.476,10385.095,16.021,648.974,3.654,1.835,1.531,137.863,64605.005,370.673,0.638,0.251,1997-12-12 09:57:45.737152,Site-23,93.9498941564189,15.33,93.5,1487.67,723.24,185,2.121,86.87
13123.524160671688,294.5761434683693,8795.460783706136,41.049813740972965,520.2050898181882,106.47968859271916,2.37828152067808,9591.402266198234,0.0,502.8835780721611,2.5996273878779954,1.2147381926942746,38.622656448342674,127.17062410282782,69322.73470793963,194.3555892521604,5.59228668611485,4.508450721079953,1997-12-13 09:57:45.737152,Site-1,89.48273504276489,5.0,735.65,5452.7,697.06,61,1.679,35.17
6122.134,32.312,3915.942,42.867,278.364,138.233,242.827,16938.002,57.091,541.902,8.451,0.928,95.263,121.425,24173.148,69.151,7.637,4.677,1997-12-14 09:57:45.737152,Site-6,59.78999788110851,77.64,42.98,3484.78,514.45,299,1.554,78.1
18909.956,446.895,1783.893,4.606,67.67,3.183,187.507,943.63,44.173,481.696,6.206,0.295,76.747,109.046,60120.099,25.783,2.919,3.396,1997-12-15 09:57:45.737152,Site-13,92.18742350231167,163.92,190.67,7028.24,278.89,84,1.721,3.26
15971.076,517.331,8740.778,36.054,891.519,145.675,176.639,19910.295,46.856,431.447,5.809,1.403,50.27,39.982,62048.98,34.291,8.616,8.867,1997-12-16 09:57:45.737152,Site-44,8.84925020519195,19.27,664.18,189.08,797.58,165,1.931,23.55
5375.309,110.115,2430.292,2.43,475.839,149.831,142.348,10830.041,7.126,570.606,8.142,1.963,8.391,96.366,21449.051,145.142,5.943,8.871,1997-12-17 09:57:45.737152,Site-41,19.59828624191452,174.01,98.41,6705.06,510.6,166,2.414,13.15
2806.674,-1.844,866.556,13.49,911.408,318.614,189.358,16348.985,52.836,537.567,8.092,1.757,83.584,93.269,15724.49,333.224,7.333,6.608,1997-12-18 09:57:45.737152,Site-9,4.522728891053807,22.01,971.84,1029.87,59.27,135,2.908,40.29
16216.183,415.056,4805.03,48.481,161.905,308.485,293.369,19167.167,20.698,430.612,4.89,0.952,30.977,177.429,14471.512,25.491,5.472,3.701,1997-12-19 09:57:45.737152,Site-45,32.53303307632643,13.73,868.41,648.61,918.62,72,1.894,89.43
16937.589,455.153,1504.289,23.889,484.635,200.161,164.377,1212.172,57.985,538.77,4.382,1.021,34.624,164.181,25256.439,482.147,3.393,2.951,1997-12-20 09:57:45.737152,Site-32,38.8677289689482,10.69,626.34,7246.51,767.74,169,2.645,37.35
17124.616,86.028,597.569,27.734,328.807,344.236,269.361,9298.556,38.301,535.491,7.931,1.603,42.29,98.828,63714.462,343.034,4.426,3.14,1997-12-21 09:57:45.737152,Site-24,27.134903177389592,103.24,819.08,6403.78,584.85,27,2.822,60.33
2168.318,475.527,2470.32,43.723,865.6,28.66,244.492,11503.589,27.521,436.515,6.93,1.398,59.878,109.489,85341.223,126.235,6.02,4.157,1997-12-22 09:57:45.737152,Site-2,82.87375091519293,9.21,887.59,8949.46,436.88,116,2.068,89.81
8523.536,218.534,5684.098,12.415,490.474,169.441,471.929,12741.945,47.905,493.645,1.936,1.3,29.116,156.641,4800.88,1.703,9.009,0.38,1997-12-23 09:57:45.737152,Site-21,35.67533266935893,41.9,259.55,5197.03,959.9,67,1.867,35.98
3035.535931904829,209.61074510450544,0.1,5.159005208902546,523.7917793136634,252.29208393424847,266.2690834216342,11943.819889352444,91.81213316660082,532.2580347755579,8.680758190163496,1.4931105490895469,15.787438397388446,41.85989760246621,64146.74238215858,107.11703328171656,1.6012722460786128,6.51253234799608,1997-12-24 09:57:45.737152,Site-6,28.093450968738075,11.48,849.43,5300.71,775.04,37,2.212,36.58
15269.531,-24.295,1125.64,0.648,639.741,26.726,481.6,2273.421,20.078,676.839,5.923,1.127,37.341,90.281,63275.976,454.823,6.505,1.056,1997-12-25 09:57:45.737152,Site-39,54.26960831582485,12.68,194.87,7070.47,535.04,277,2.8,8.8
13162.094,502.353,4548.84,35.918,278.799,168.401,267.263,10845.563,25.824,492.465,1.768,0.33,69.153,111.471,63367.788,126.274,8.998,5.712,1997-12-26 09:57:45.737152,Site-49,14.092422497476264,56.27,413.4,3234.65,653.19,209,1.516,34.9
16818.83346951402,95.40525393786666,4146.848353883064,20.22359727477536,872.6607409716437,249.6856906506988,211.84594614786715,9084.64778776265,24.402563790013325,489.2221239359298,5.760115782100008,2.0,96.35309570383237,0.0,18913.14506490896,309.89277827140506,3.984607114674964,4.606318190174088,1997-12-27 09:57:45.737152,Site-48,80.21969807540397,13.74,558.3,370.09,280.82,50,2.206,74.62
16694.537,23.87,4708.172,30.869,466.154,156.039,263.021,15244.407,84.242,604.64,1.431,0.832,58.813,130.273,60969.89,1.702,8.51,2.159,1997-12-28 09:57:45.737152,Site-40,7.455064367977082,13.4,713.92,2301.23,195.8,284,2.599,84.46
4331.871,-12.512,2035.978,25.805,756.95,159.617,384.654,3557.619,29.802,673.688,5.505,1.539,58.333,45.416,4572.545,278.252,4.032,3.016,1997-12-29 09:57:45.737152,Site-48,98.68869366005173,62.35,30.24,2380.9,273.39,64,2.372,72.28
16781.657,224.923,3055.916,13.188,48.963,322.556,116.867,17483.256,70.81,647.185,4.214,1.542,27.862,127.94,68334.085,446.04,6.784,1.821,1997-12-30 09:57:45.737152,Site-15,77.22447692966574,99.23,290.58,3357.25,293.21,70,2.221,0.69
16410.146,343.551,504.375,13.538,520.044,297.948,21.306,13176.557,44.921,442.707,4.622,0.951,8.058,137.061,42753.761,261.343,8.76,6.874,1997-12-31 09:57:45.737152,Site-34,19.87156815341724,38.27,608.56,9434.68,739.76,39,2.303,11.7
18646.044,162.407,3602.65,1.24,807.776,72.109,412.441,9939.09,23.804,638.531,2.558,0.135,13.642,59.608,63854.656,52.161,7.09,3.789,1998-01-01 09:57:45.737152,Site-38,0.5522117123602399,10.44,357.43,8048.62,140.15,218,2.398,73.1
8007.3,265.849,972.147,24.205,108.436,255.365,238.59,4395.378,77.134,680.636,5.852,1.018,22.059,178.198,30205.484,338.953,2.342,8.828,1998-01-02 09:57:45.737152,Site-35,81.54614284548342,12.05,775.05,9359.63,777.61,171,2.489,94.24
11162.793,562.915,6863.701,4.268,943.186,167.519,256.597,16044.943,99.435,436.809,0.219,1.535,16.677,79.535,31007.594,432.922,9.953,3.438,1998-01-03 09:57:45.737152,Site-10,70.68573438476172,21.76,651.69,9986.1,523.44,17,2.016,69.54
1103.655,225.067,3315.908,47.122,874.177,305.731,479.824,5704.194,45.654,525.122,7.243,1.554,83.193,170.628,62187.864,336.647,8.079,6.559,1998-01-04 09:57:45.737152,Site-18,72.90071680409874,27.69,234.48,4338.36,384.63,7,2.25,22.61
11949.76,11.927,5384.697,34.853,556.466,189.759,413.294,15957.293,6.708,466.821,0.63,1.404,8.544,76.12,62793.277,131.525,4.412,0.622,1998-01-05 09:57:45.737152,Site-33,77.12703466859458,7.48,146.01,2271.51,300.47,159,1.897,10.76
16992.971,108.709,1627.723,24.001,655.193,10.305,171.679,4464.357,96.23,585.412,7.777,1.194,6.444,134.823,13294.795,353.397,2.861,0.355,1998-01-06 09:57:45.737152,Site-3,7.4044651734090365,41.39,629.08,5600.48,513.25,195,2.927,87.7
15542.511,121.648,7170.851,11.65,698.495,73.214,338.844,6497.27,6.523,608.682,5.938,0.73,73.272,80.655,67215.673,400.592,7.496,3.895,1998-01-07 09:57:45.737152,Site-3,35.84657285442726,21.88,450.52,8811.46,317.59,246,1.772,9.9
3690.307,308.396,3065.962,22.515,903.606,75.066,353.43,17087.396,15.973,646.966,8.961,0.99,45.785,53.747,16967.651,420.579,5.604,8.36,1998-01-08 09:57:45.737152,Site-13,11.586905952512971,3.61,169.04,4657.85,429.51,143,1.718,15.1
7374.237,197.815,5821.055,17.157,682.779,30.589,35.579,59.844,50.339,562.481,6.242,0.93,92.396,151.478,4477.828,150.24,7.081,4.338,1998-01-09 09:57:45.737152,Site-33,86.31034258755935,7.93,326.44,5054.49,739.04,202,1.89,59.67
9905.168,157.577,8100.097,2.932,755.649,75.168,367.118,8106.162,24.066,576.078,2.398,1.377,25.984,18.372,84529.306,180.147,7.687,0.433,1998-01-10 09:57:45.737152,Site-10,62.329812682755794,12.13,303.12,1345.26,626.04,220,2.834,19.0
15315.182,445.221,7943.319,28.053,723.721,21.452,162.941,3733.029,96.128,603.218,8.379,1.231,20.801,99.468,8703.947,46.195,8.961,3.957,1998-01-11 09:57:45.737152,Site-32,33.08980248526492,18.67,108.22,4205.13,748.01,183,2.455,22.76
16465.287,276.997,1368.904,14.704,569.492,141.543,331.597,19276.862,72.299,632.01,3.334,0.42,83.407,147.595,97262.005,212.002,3.186,1.775,1998-01-12 09:57:45.737152,Site-15,6.355835028602364,132.86,546.95,3870.56,713.0,105,2.161,14.23
12553.344,28.53,9740.957,15.181,218.238,67.434,175.467,2576.711,90.262,465.342,6.86,0.514,67.169,115.665,76231.571,473.419,2.556,1.768,1998-01-13 09:57:45.737152,Site-29,31.09823217156622,25.49,763.67,3517.53,815.09,39,2.842,94.43
2315.5691347056418,52.32928010219669,975.9048798619128,25.013259650377343,651.2320412310746,186.29322811639216,500.0,10715.2403184871,53.81887313950286,572.216904904325,4.990826164181748,1.4112061066574182,51.91788906902103,134.37849699102088,63023.64267946519,371.5461915046895,0.4240454281693779,4.729074367242952,1998-01-14 09:57:45.737152,Site-16,32.518332202674706,8.66,575.51,8873.1,201.77,194,2.805,12.49
4476.47,309.157,5078.944,42.989,899.403,340.698,279.134,14980.913,58.803,495.573,1.092,1.941,3.288,195.769,70751.189,106.166,0.186,6.867,1998-01-15 09:57:45.737152,Site-32,72.96061783380641,25.04,826.31,593.96,995.12,230,2.082,93.13
17224.287,161.106,7596.073,42.691,15.176,177.738,77.825,8398.845,30.713,691.849,3.128,1.94,90.19,76.894,11256.876,90.594,9.899,5.316,1998-01-16 09:57:45.737152,Site-18,63.75574713552131,14.12,127.66,9721.5,475.82,56,2.317,32.62
17341.514,549.008,8617.8,49.19,857.138,154.277,87.975,15754.054,95.482,403.047,4.173,0.677,66.602,175.324,28317.558,258.247,8.746,0.132,1998-01-17 09:57:45.737152,Site-47,88.72127425763266,27.79,435.67,83.46,718.26,148,2.813,82.16
9367.648,506.606,4982.895,9.258,850.64,255.262,138.917,5220.048,22.589,673.522,2.372,1.92,27.472,125.043,29279.305,419.549,3.444,1.407,1998-01-18 09:57:45.737152,Site-30,47.22149251619493,35.89,609.45,9455.99,677.78,119,1.963,95.0
9870.6283625755,393.7557347143368,9747.830866911829,46.42014320331859,391.11419018851416,333.22742427185665,161.28139245803766,20000.0,70.07946061067557,593.0718116088109,2.930124163135431,1.9004776353529664,50.01820147583636,120.93158419115368,46715.50937835639,407.1615047436329,4.205952057635161,4.325988537211032,1998-01-19 09:57:45.737152,Site-23,11.959424593830173,67.3,676.03,5480.93,566.19,61,2.091,51.93
17196.15,386.118,6063.564,30.116,898.282,57.871,9.368,12446.774,74.549,551.045,6.503,1.53,62.29,47.625,68895.508,392.1,2.597,1.294,1998-01-20 09:57:45.737152,Site-16,71.3244787222995,19.6,695.82,7024.75,995.82,73,2.65,77.02
13071.951,74.439,3051.856,47.298,421.259,279.835,398.216,18920.754,51.971,478.221,0.407,0.066,34.941,8.131,41950.522,276.235,3.588,4.429,1998-01-21 09:57:45.737152,Site-6,76.07850486168974,103.44,728.99,1872.14,217.39,71,2.513,26.6
720.8473595694686,-25.1752808644226,9503.889967392966,3.298913593007095,236.53416456120783,279.1332516605364,85.17428810987744,8469.931556233085,86.59211681914321,552.0532713456172,10.0,1.3888938643411963,100.0,95.92578063676092,100000.0,174.75533805695346,1.101227682273685,1.206733984190945,1998-01-22 09:57:45.737152,Site-9,56.12771975694962,49.8,651.46,6542.46,421.79,125,1.571,38.3
