,Pressure Sensor,Temperature Sensor,Flow Sensor,Vibration Sensor,Gas Sensor,Position Sensor,Tension Sensor,Acoustic Sensor,Humidity Sensor,Optical Sensor,Magnetic Sensor,Seismic Sensor,Chemical Sensor,Rate of Penetration Sensor,Weight on Bit Sensor,RPM Sensor,Leak Detection Sensor,Corrosion Sensor,Location,Timestamp
11,2368.564,417.679,4877.957,45.077,550.57,137.973,381.689,19314.163,65.185,612.03,0.542,1.417,87.075,183.76,40424.061,162.545,8.494,7.509,Site-3,2023-02-14
12,4705.675,544.402,6668.993,36.631,357.468,85.701,86.183,16226.462,85.505,519.288,6.656,0.206,85.113,182.701,41047.685,199.82,5.431,5.899,Site-1,2023-01-26
13,8003.775,13.907,4232.767,33.02,615.579,124.411,486.877,8942.78,57.528,451.516,6.89,1.471,78.869,199.799,23843.246,287.444,7.868,5.495,Site-11,2021-11-27
14,18397.272,330.793,1123.445,10.947,572.557,141.2,235.939,4750.056,97.983,468.481,3.153,1.287,38.911,162.842,36860.648,284.228,7.193,6.415,Site-37,2023-08-13
15,10208.742,93.1,6450.377,45.741,775.479,339.867,166.739,12619.409,9.913,596.465,2.246,1.659,61.844,83.696,73809.331,396.397,4.538,6.425,Site-41,2021-01-12
16,4619.098,120.347,1771.992,26.257,71.256,330.599,420.119,18020.349,2.397,617.132,0.191,1.798,21.336,131.613,65033.022,465.171,8.811,1.213,Site-28,2021-06-02
17,10703.995,347.98,2112.299,35.533,766.387,355.285,438.778,4072.705,78.833,612.85,6.957,1.72,56.114,16.807,46976.853,347.669,8.919,4.176,Site-32,2023-11-27
18,9998.617,363.523,6121.582,23.631,440.512,54.8,283.013,6443.152,91.338,599.195,2.978,1.298,53.338,79.253,65783.533,319.577,9.459,9.408,Site-2,2020-04-25
19,7726.23,18.466,7161.293,19.026,291.948,178.15,372.083,2230.505,27.936,503.631,5.434,0.102,51.948,39.464,51658.079,190.087,4.077,2.517,Site-11,2021-12-31
20,2319.435,439.965,7450.609,17.62,917.691,180.024,252.445,7274.414,77.887,676.256,1.476,1.003,23.28,107.6,5777.824,399.509,4.431,2.041,Site-41,2021-12-25
21,16085.83,282.748,5986.133,45.079,31.697,90.202,435.949,5327.621,89.158,558.133,5.622,0.603,90.748,99.527,66544.086,416.192,4.925,3.921,Site-25,2023-08-11
22,16026.517,109.721,6581.585,18.127,876.833,102.866,466.32,10204.69,65.167,497.737,9.725,1.145,45.267,39.711,64576.326,155.361,3.456,9.564,Site-12,2022-04-21
23,8323.528,541.191,1789.137,17.409,644.115,21.209,188.479,10702.678,82.721,549.121,7.94,0.564,87.751,82.642,72943.645,435.132,4.932,6.515,Site-40,2020-12-12
24,6259.57,199.732,5148.348,18.223,114.489,274.893,73.251,9001.96,45.085,682.68,1.046,1.733,80.604,94.98,66442.574,7.665,5.746,3.236,Site-17,2023-10-12
25,1157.027,325.219,1731.403,34.43,369.606,359.827,475.21,10880.007,5.441,649.654,9.748,0.861,71.779,70.105,55292.672,240.997,3.913,0.439,Site-46,2022-07-04
26,14281.499,404.557,2333.663,30.418,290.986,296.236,250.05,5540.118,62.422,543.521,4.381,1.272,84.785,99.319,69773.289,304.476,2.451,2.465,Site-22,2020-12-22
27,14066.474,385.607,9293.759,42.696,962.383,257.062,274.179,19498.513,14.209,469.791,5.622,0.092,55.003,187.976,77621.733,320.153,6.708,4.022,Site-9,2021-11-19
28,14565.724,130.767,3496.358,30.728,731.019,112.756,275.506,8478.728,86.063,662.439,1.73,0.364,36.432,167.586,91781.783,280.447,8.934,3.54,Site-23,2020-05-26
29,14405.997,56.337,4611.918,23.39,505.544,144.225,100.003,7827.537,68.545,604.296,6.603,1.311,83.283,185.063,55656.5,177.618,7.404,7.382,Site-1,2023-02-27
30,4552.393,482.07,9952.673,34.646,692.623,152.362,404.47,16452.328,95.219,438.672,2.665,0.159,40.624,158.033,95014.93,33.417,7.688,7.341,Site-25,2021-05-11
31,19604.396,2.366,6244.113,15.468,301.485,254.52,200.954,19042.091,59.099,543.728,7.807,1.081,6.257,42.833,19940.483,55.948,7.375,2.33,Site-34,2022-10-08
32,13969.446,21.205,9097.754,26.915,510.861,333.103,281.02,16914.899,26.125,425.07,5.015,0.015,86.902,195.592,17844.868,377.128,7.666,3.122,Site-46,2022-12-30
33,2466.521,589.252,6540.669,14.056,1.642,207.623,449.499,9629.652,4.023,594.118,7.88,0.746,11.331,116.892,73494.629,76.694,4.932,0.533,Site-29,2023-08-03
34,16333.634,270.989,161.316,23.645,951.12,202.588,51.619,2388.196,83.643,403.214,6.569,1.015,2.252,177.833,14302.974,433.878,3.586,1.065,Site-5,2020-09-02
35,17773.683,17.854,8616.405,21.511,627.439,242.378,95.28,17687.94,6.828,473.091,0.585,0.287,7.88,141.114,27679.447,392.418,4.195,1.937,Site-19,2022-08-31
36,11817.649,82.869,7458.395,39.067,32.388,278.014,287.626,5061.684,39.49,638.039,3.186,1.482,89.078,65.284,13776.735,118.939,3.627,5.162,Site-18,2022-12-09
37,16438.736,137.53,2401.867,45.169,137.947,197.627,472.127,18394.264,92.095,689.384,5.449,0.272,71.925,24.031,4986.253,323.317,7.071,1.925,Site-6,2020-05-13
38,16626.66,276.559,7282.287,12.99,271.816,86.854,58.371,4609.711,76.182,436.717,9.567,1.893,24.876,75.145,62660.65,301.067,2.152,8.922,Site-31,2021-05-07
39,11261.003,44.0,993.664,37.07,239.525,179.833,170.262,14209.826,35.249,564.246,6.876,1.909,68.529,54.193,91746.291,7.733,5.349,8.836,Site-3,2022-12-28
40,15683.391,-14.16,5608.998,21.847,652.614,328.302,287.622,14948.639,2.463,475.819,3.455,1.108,84.08,195.184,68816.127,479.475,3.818,5.958,Site-42,2023-08-25
41,12730.351,557.543,1687.447,49.299,669.061,319.08,16.333,10948.056,31.472,482.638,2.566,1.408,44.576,47.743,77889.481,133.329,0.15,8.006,Site-36,2020-09-25
42,13892.307,137.443,449.217,39.68,431.46,82.886,366.138,2034.52,18.49,656.138,7.846,1.301,52.597,42.725,16003.65,362.825,4.205,3.109,Site-26,2021-01-15
43,16054.809,106.293,8072.691,0.011,431.534,172.641,10.697,8015.106,81.994,641.479,7.055,0.588,47.592,172.963,28624.115,297.509,3.372,2.917,Site-6,2022-11-13
44,3605.33,578.448,9238.705,32.28,55.916,15.722,187.837,276.569,58.561,529.999,7.719,0.085,52.716,105.025,97850.842,337.444,2.8,3.833,Site-7,2020-02-17
45,16007.678,350.929,5290.373,46.871,206.794,168.173,7.172,17089.257,94.157,570.601,5.903,0.922,48.52,56.318,70505.864,159.475,6.924,9.829,Site-15,2023-09-11
46,11030.09,122.923,2175.4,27.23,268.758,292.13,477.876,10468.095,28.719,580.975,6.815,1.841,87.462,47.087,67975.571,170.764,7.069,0.988,Site-14,2023-08-26
47,10487.434,0.119,3.749,47.436,819.228,350.38,473.444,17687.492,82.167,459.31,6.749,0.504,60.886,66.019,21966.325,33.437,2.165,7.799,Site-26,2020-12-13
48,3507.528,65.654,248.153,23.715,10.634,61.808,264.326,10550.763,31.229,573.974,3.318,0.16,73.786,193.431,10362.444,24.535,2.258,7.508,Site-5,2022-03-12
49,7243.468,505.547,8852.897,16.596,299.239,267.406,370.194,6902.039,10.025,472.073,8.73,0.948,21.529,90.73,61704.722,398.959,8.824,5.3,Site-27,2023-09-25
50,15886.658,42.511,6399.943,22.928,280.737,147.683,8.756,10083.898,64.359,677.44,8.832,0.85,80.502,153.286,9796.095,211.155,6.913,5.908,Site-46,2021-11-25
51,17977.677,115.508,143.407,11.577,260.332,224.577,240.484,4784.126,1.482,503.692,4.015,1.58,10.93,13.426,98942.081,15.756,0.918,6.824,Site-15,2022-05-13
52,18420.649,78.196,7284.599,45.506,726.178,61.988,285.476,10385.095,16.021,648.974,3.654,1.835,1.531,137.863,64605.005,370.673,0.638,0.251,Site-23,2020-12-28
53,19027.974,329.237,8732.058,30.033,665.632,110.752,19.154,11257.533,14.57,494.925,1.842,1.335,37.87,126.294,68119.094,197.418,5.319,4.504,Site-1,2022-04-08
54,6122.134,32.312,3915.942,42.867,278.364,138.233,242.827,16938.002,57.091,541.902,8.451,0.928,95.263,121.425,24173.148,69.151,7.637,4.677,Site-6,2021-07-04
55,18909.956,446.895,1783.893,4.606,67.67,3.183,187.507,943.63,44.173,481.696,6.206,0.295,76.747,109.046,60120.099,25.783,2.919,3.396,Site-13,2022-03-26
56,15971.076,517.331,8740.778,36.054,891.519,145.675,176.639,19910.295,46.856,431.447,5.809,1.403,50.27,39.982,62048.98,34.291,8.616,8.867,Site-44,2023-06-27
57,5375.309,110.115,2430.292,2.43,475.839,149.831,142.348,10830.041,7.126,570.606,8.142,1.963,8.391,96.366,21449.051,145.142,5.943,8.871,Site-41,2022-07-12
58,2806.674,-1.844,866.556,13.49,911.408,318.614,189.358,16348.985,52.836,537.567,8.092,1.757,83.584,93.269,15724.49,333.224,7.333,6.608,Site-9,2023-01-22
59,16216.183,415.056,4805.03,48.481,161.905,308.485,293.369,19167.167,20.698,430.612,4.89,0.952,30.977,177.429,14471.512,25.491,5.472,3.701,Site-45,2021-08-11
60,16937.589,455.153,1504.289,23.889,484.635,200.161,164.377,1212.172,57.985,538.77,4.382,1.021,34.624,164.181,25256.439,482.147,3.393,2.951,Site-32,2020-09-23
61,17124.616,86.028,597.569,27.734,328.807,344.236,269.361,9298.556,38.301,535.491,7.931,1.603,42.29,98.828,63714.462,343.034,4.426,3.14,Site-24,2023-04-30
62,2168.318,475.527,2470.32,43.723,865.6,28.66,244.492,11503.589,27.521,436.515,6.93,1.398,59.878,109.489,85341.223,126.235,6.02,4.157,Site-2,2021-11-07
63,8523.536,218.534,5684.098,12.415,490.474,169.441,471.929,12741.945,47.905,493.645,1.936,1.3,29.116,156.641,4800.88,1.703,9.009,0.38,Site-21,2021-10-12
64,3688.049,198.861,197.862,8.431,620.237,261.707,281.38,12078.546,87.96,539.203,9.068,1.458,3.892,12.193,60666.729,136.224,1.319,7.365,Site-6,2020-08-19
65,15269.531,-24.295,1125.64,0.648,639.741,26.726,481.6,2273.421,20.078,676.839,5.923,1.127,37.341,90.281,63275.976,454.823,6.505,1.056,Site-39,2020-02-11
66,13162.094,502.353,4548.84,35.918,278.799,168.401,267.263,10845.563,25.824,492.465,1.768,0.33,69.153,111.471,63367.788,126.274,8.998,5.712,Site-49,2021-04-12
67,16366.972,13.178,6137.519,17.107,833.093,245.543,179.638,7232.946,27.914,470.559,6.198,1.851,90.758,6.564,8810.966,270.432,4.7,3.196,Site-48,2022-09-08
68,16694.537,23.87,4708.172,30.869,466.154,156.039,263.021,15244.407,84.242,604.64,1.431,0.832,58.813,130.273,60969.89,1.702,8.51,2.159,Site-40,2020-05-24
69,4331.871,-12.512,2035.978,25.805,756.95,159.617,384.654,3557.619,29.802,673.688,5.505,1.539,58.333,45.416,4572.545,278.252,4.032,3.016,Site-48,2020-01-04
70,16781.657,224.923,3055.916,13.188,48.963,322.556,116.867,17483.256,70.81,647.185,4.214,1.542,27.862,127.94,68334.085,446.04,6.784,1.821,Site-15,2021-11-13
71,16410.146,343.551,504.375,13.538,520.044,297.948,21.306,13176.557,44.921,442.707,4.622,0.951,8.058,137.061,42753.761,261.343,8.76,6.874,Site-34,2021-10-16
72,18646.044,162.407,3602.65,1.24,807.776,72.109,412.441,9939.09,23.804,638.531,2.558,0.135,13.642,59.608,63854.656,52.161,7.09,3.789,Site-38,2020-03-23
73,8007.3,265.849,972.147,24.205,108.436,255.365,238.59,4395.378,77.134,680.636,5.852,1.018,22.059,178.198,30205.484,338.953,2.342,8.828,Site-35,2020-10-11
74,11162.793,562.915,6863.701,4.268,943.186,167.519,256.597,16044.943,99.435,436.809,0.219,1.535,16.677,79.535,31007.594,432.922,9.953,3.438,Site-10,2022-03-09
75,1103.655,225.067,3315.908,47.122,874.177,305.731,479.824,5704.194,45.654,525.122,7.243,1.554,83.193,170.628,62187.864,336.647,8.079,6.559,Site-18,2023-02-09
76,11949.76,11.927,5384.697,34.853,556.466,189.759,413.294,15957.293,6.708,466.821,0.63,1.404,8.544,76.12,62793.277,131.525,4.412,0.622,Site-33,2020-08-15
77,16992.971,108.709,1627.723,24.001,655.193,10.305,171.679,4464.357,96.23,585.412,7.777,1.194,6.444,134.823,13294.795,353.397,2.861,0.355,Site-3,2020-10-14
78,15542.511,121.648,7170.851,11.65,698.495,73.214,338.844,6497.27,6.523,608.682,5.938,0.73,73.272,80.655,67215.673,400.592,7.496,3.895,Site-3,2023-11-02
79,3690.307,308.396,3065.962,22.515,903.606,75.066,353.43,17087.396,15.973,646.966,8.961,0.99,45.785,53.747,16967.651,420.579,5.604,8.36,Site-13,2021-01-11
80,7374.237,197.815,5821.055,17.157,682.779,30.589,35.579,59.844,50.339,562.481,6.242,0.93,92.396,151.478,4477.828,150.24,7.081,4.338,Site-33,2023-07-18
81,9905.168,157.577,8100.097,2.932,755.649,75.168,367.118,8106.162,24.066,576.078,2.398,1.377,25.984,18.372,84529.306,180.147,7.687,0.433,Site-10,2021-06-17
82,15315.182,445.221,7943.319,28.053,723.721,21.452,162.941,3733.029,96.128,603.218,8.379,1.231,20.801,99.468,8703.947,46.195,8.961,3.957,Site-32,2023-02-15
83,16465.287,276.997,1368.904,14.704,569.492,141.543,331.597,19276.862,72.299,632.01,3.334,0.42,83.407,147.595,97262.005,212.002,3.186,1.775,Site-15,2020-05-12
84,12553.344,28.53,9740.957,15.181,218.238,67.434,175.467,2576.711,90.262,465.342,6.86,0.514,67.169,115.665,76231.571,473.419,2.556,1.768,Site-29,2023-11-15
85,2701.063,12.462,1437.621,26.148,648.219,157.946,459.168,11360.314,37.552,538.431,6.776,1.682,30.038,177.483,60747.57,386.599,1.515,4.665,Site-16,2020-06-21
86,4476.47,309.157,5078.944,42.989,899.403,340.698,279.134,14980.913,58.803,495.573,1.092,1.941,3.288,195.769,70751.189,106.166,0.186,6.867,Site-32,2023-11-28
87,17224.287,161.106,7596.073,42.691,15.176,177.738,77.825,8398.845,30.713,691.849,3.128,1.94,90.19,76.894,11256.876,90.594,9.899,5.316,Site-18,2021-12-02
88,17341.514,549.008,8617.8,49.19,857.138,154.277,87.975,15754.054,95.482,403.047,4.173,0.677,66.602,175.324,28317.558,258.247,8.746,0.132,Site-47,2021-04-07
89,9367.648,506.606,4982.895,9.258,850.64,255.262,138.917,5220.048,22.589,673.522,2.372,1.92,27.472,125.043,29279.305,419.549,3.444,1.407,Site-30,2020-11-16
90,9985.808,348.378,9037.698,44.174,406.119,291.211,68.501,17266.533,59.392,586.548,3.165,1.731,51.926,142.669,59550.331,394.647,4.645,4.218,Site-23,2021-08-04
91,17196.15,386.118,6063.564,30.116,898.282,57.871,9.368,12446.774,74.549,551.045,6.503,1.53,62.29,47.625,68895.508,392.1,2.597,1.294,Site-16,2021-04-20
92,13071.951,74.439,3051.856,47.298,421.259,279.835,398.216,18920.754,51.971,478.221,0.407,0.066,34.941,8.131,41950.522,276.235,3.588,4.429,Site-6,2020-05-28
93,5723.448,-8.86,9089.081,4.883,148.903,275.089,79.572,7853.97,71.004,594.104,8.687,1.686,97.828,78.266,97702.595,215.543,1.28,1.014,Site-9,2023-05-20
94,3331.681,106.088,6122.688,2.228,557.308,340.068,203.85,8923.159,31.597,464.481,2.633,1.847,89.031,65.869,51953.502,122.101,2.832,2.874,Site-43,2020-08-17
95,17968.715,186.559,3945.165,20.285,143.123,93.815,140.801,10347.557,10.255,524.4,5.357,0.872,22.025,12.727,29427.128,493.598,8.799,7.319,Site-34,2022-03-31
96,18434.321,133.613,8664.609,6.792,468.507,45.773,13.577,13582.05,27.225,692.741,6.779,1.289,75.975,46.499,2171.574,101.594,6.678,1.429,Site-17,2020-02-08
97,2986.77,153.823,4511.6,12.077,297.55,274.558,172.045,8620.447,58.353,454.409,5.073,1.355,46.309,107.903,75623.845,97.024,7.546,5.302,Site-1,2022-01-27
98,2835.365,398.763,1511.628,22.687,883.88,309.394,154.525,19179.855,34.496,416.328,9.584,0.856,40.37,54.861,9703.274,429.517,2.684,6.728,Site-33,2023-08-08
99,15247.441,54.633,3536.912,29.067,280.19,154.973,450.127,11830.651,57.765,550.878,0.539,0.086,31.15,198.643,87233.671,32.081,6.538,1.166,Site-41,2023-10-17
100,5019.506,70.012,1778.684,48.889,577.326,170.426,422.228,7473.195,27.079,580.144,8.301,0.668,1.463,62.136,22786.233,110.803,7.292,9.91,Site-12,2023-10-15
101,6020.349,492.903,9067.801,46.359,945.669,77.709,130.592,16720.268,9.126,596.564,8.092,0.733,5.709,159.454,36072.025,449.341,5.785,1.49,Site-40,2021-02-15
102,12248.49,98.389,9311.386,33.094,727.5,326.924,481.885,6696.444,48.427,401.611,2.357,1.735,78.315,172.588,22045.11,312.433,3.264,5.27,Site-18,2020-03-04
103,6857.944,14.531,5115.463,33.044,650.82,11.448,346.473,137.966,26.49,671.284,1.438,1.096,11.443,133.725,48061.864,42.452,7.115,3.847,Site-26,2020-05-10
104,19668.911,580.692,4397.899,16.427,265.483,331.294,174.57,13126.19,88.615,483.19,9.206,1.941,20.148,75.462,35801.07,17.866,7.111,3.665,Site-13,2021-09-18
105,680.327,24.524,3423.453,35.468,414.713,242.624,265.893,10397.176,28.376,422.854,8.638,1.839,42.515,103.516,74516.694,2.21,5.965,7.983,Site-13,2022-06-16
106,9650.672,469.956,8584.608,10.04,55.379,145.789,101.977,13136.397,3.842,625.887,3.671,0.06,52.985,31.693,17838.4,392.837,8.689,0.231,Site-35,2020-11-24
107,1506.04,477.351,4133.436,21.424,696.875,85.569,166.261,3611.997,0.399,591.225,3.75,0.548,44.909,176.263,38449.942,458.819,8.682,8.676,Site-29,2023-03-24
108,9214.958,107.057,6751.344,6.851,371.541,90.295,210.541,10784.374,68.088,600.951,1.073,1.127,81.555,156.529,88635.04,436.365,2.95,9.188,Site-21,2020-10-31
109,8710.292,59.074,7438.929,28.869,798.908,260.681,113.692,5048.746,4.426,422.989,1.356,0.919,88.581,149.09,26045.949,317.462,4.26,8.219,Site-2,2022-06-24
110,4397.891,193.363,7209.472,27.142,621.418,330.896,441.992,4441.048,83.375,687.974,7.04,0.798,21.579,40.564,72601.578,197.067,9.286,1.441,Site-47,2021-03-01
111,19322.135,299.179,9879.325,1.22,542.958,164.546,435.941,6930.029,50.605,672.089,3.416,1.552,10.381,108.049,26766.917,358.97,9.054,8.563,Site-46,2021-01-03
112,4217.928,559.532,477.325,36.421,205.556,3.226,349.937,1575.611,83.718,423.161,3.567,1.433,88.651,158.057,87647.71,24.644,7.483,2.003,Site-42,2020-07-26
113,726.963,352.75,5409.431,7.999,921.694,104.353,45.253,12373.729,80.282,565.322,3.199,0.237,75.764,98.267,68650.878,94.805,7.602,2.286,Site-5,2021-07-11
114,18823.659,417.631,4984.57,29.073,82.829,52.012,238.21,10370.975,7.1,672.664,6.87,0.901,28.347,168.732,23180.751,259.855,6.551,9.89,Site-8,2022-06-12
115,19052.473,65.0,6137.944,2.159,963.244,44.713,69.221,3187.587,46.268,487.424,3.644,0.733,98.299,186.175,11231.717,247.659,0.581,1.67,Site-11,2021-07-13
116,19162.032,71.349,3771.746,36.577,902.04,228.218,406.114,1326.701,69.239,431.126,9.034,0.134,88.988,62.024,30029.324,178.104,1.48,9.953,Site-13,2020-10-26
117,2746.822,390.655,7922.824,41.592,289.588,183.351,447.144,3101.005,75.614,502.833,6.668,1.633,78.978,87.517,80771.885,337.669,4.278,1.219,Site-13,2020-12-21
118,1876.438,69.872,9578.273,49.201,637.618,239.365,85.566,12364.718,77.856,641.549,8.122,1.057,90.031,77.497,31010.038,449.471,2.411,4.896,Site-49,2021-01-21
119,10021.255,491.662,4805.902,46.214,115.13,331.344,87.325,6162.051,76.979,493.514,1.214,1.26,32.652,136.044,68170.41,230.497,4.078,6.687,Site-11,2020-06-08
120,5081.688,55.993,1364.918,31.304,185.826,79.019,161.918,8567.738,55.071,504.653,8.945,0.544,74.808,27.651,18253.53,484.938,8.151,7.574,Site-35,2021-12-09
121,1266.795,176.513,40.21,2.365,736.711,286.601,342.691,13218.519,12.81,550.947,3.104,1.16,91.957,69.987,75499.563,53.727,4.315,4.375,Site-13,2020-01-22
122,9953.29,140.3,7767.047,1.191,43.356,351.409,444.481,8919.644,7.678,640.148,9.403,0.791,67.255,123.716,26014.744,316.884,8.719,3.056,Site-34,2020-12-05
123,8075.063,23.352,8541.589,8.893,434.983,177.038,315.223,194.063,13.13,696.747,3.087,0.722,42.848,133.906,6594.689,160.947,4.876,6.954,Site-4,2020-09-19
124,19100.906,265.22,7649.812,14.471,63.803,243.709,112.868,11605.878,38.081,508.846,4.173,0.524,40.121,3.733,14368.028,160.112,6.677,1.489,Site-20,2023-12-11
125,2998.567,82.122,8676.664,20.925,212.531,270.641,200.312,16075.063,55.485,466.629,3.672,0.217,69.415,41.418,82829.05,404.193,8.714,5.523,Site-34,2022-03-11
126,19290.149,206.964,8726.886,34.71,182.841,253.276,201.662,17695.569,2.296,562.601,0.561,1.27,63.472,103.631,80565.217,172.574,4.689,4.892,Site-16,2020-03-30
127,9316.625,264.937,4075.315,32.197,841.929,51.839,224.524,16454.103,44.599,631.754,2.219,0.757,80.679,129.335,79558.381,211.455,3.461,5.512,Site-40,2021-06-08
128,2245.157,40.568,4282.132,28.6,499.246,228.534,297.599,7889.521,52.018,643.427,4.47,0.843,28.214,189.514,43007.05,277.083,3.656,1.821,Site-6,2020-02-29
129,11502.334,490.51,3136.93,26.041,760.241,79.094,357.995,11922.345,58.758,684.251,2.575,1.869,57.147,177.15,53721.93,283.428,0.543,6.546,Site-16,2023-05-22
130,9457.971,160.165,5098.909,36.451,365.064,47.192,69.594,9620.356,35.776,574.265,9.505,0.729,39.12,143.204,65137.565,387.435,2.975,8.473,Site-39,2023-08-04
131,881.72,328.658,5562.658,16.615,566.977,37.826,282.374,19586.38,90.414,509.908,1.64,1.194,58.439,155.806,88764.312,354.476,1.486,3.268,Site-18,2022-03-11
132,8775.114,220.278,7487.949,19.434,985.864,224.671,357.023,15906.037,97.889,538.237,1.907,0.785,98.938,143.942,6984.818,58.045,8.776,1.304,Site-48,2020-02-16
133,18592.231,208.209,8002.285,2.05,881.959,62.57,326.935,847.407,31.703,400.29,5.673,0.718,90.445,132.551,85806.93,69.237,0.415,5.404,Site-30,2021-10-28
134,1656.22,13.046,7557.299,25.801,84.833,143.037,173.675,19657.28,50.773,690.885,6.204,0.218,38.734,91.73,75459.548,93.684,7.36,4.85,Site-22,2021-04-05
135,3253.748,197.207,9881.036,13.557,850.857,99.892,358.713,53.463,81.764,566.745,8.724,1.265,9.022,53.472,9812.509,6.1,4.956,3.294,Site-48,2020-09-29
136,7987.277,158.502,9843.681,36.213,893.591,257.398,327.799,6608.476,13.557,501.226,9.949,0.107,94.934,33.979,46457.702,442.754,1.637,2.242,Site-11,2021-01-12
137,7548.702,50.845,2124.113,15.071,825.264,81.159,2.296,4435.247,57.978,619.808,6.107,0.106,57.014,89.364,44444.514,172.084,1.062,6.039,Site-32,2021-01-25
138,8211.254,114.248,2862.669,34.054,354.533,201.72,241.855,1251.729,77.287,685.625,3.992,1.846,37.077,55.125,17912.452,317.439,9.174,4.613,Site-48,2020-09-07
139,7750.151,402.076,75.648,26.457,321.159,107.001,255.545,8566.496,41.715,602.295,4.323,1.999,80.846,154.782,68181.729,378.047,4.206,4.234,Site-4,2020-12-16
140,15023.298,386.722,9088.413,45.238,512.599,307.478,147.935,7180.481,24.949,482.152,3.276,0.392,93.73,8.601,46883.904,141.914,3.386,3.614,Site-22,2020-05-07
141,4945.725,113.428,3534.532,47.215,818.609,35.175,34.862,8669.084,9.511,682.851,0.205,1.511,57.566,0.807,32789.134,260.233,1.762,0.704,Site-14,2022-03-02
142,5101.965,151.52,3656.609,15.914,20.26,91.396,450.543,4155.594,78.477,453.999,1.043,0.77,17.155,9.261,2774.909,436.567,0.614,7.888,Site-49,2022-08-09
143,5458.762,175.494,6593.961,26.598,62.282,305.085,498.768,9104.377,57.057,586.024,5.323,1.548,62.535,7.559,55781.135,378.036,0.653,6.52,Site-14,2022-10-03
144,11093.516,55.36,7832.275,47.412,552.854,97.125,85.358,15946.021,21.396,625.438,4.624,1.472,65.359,56.033,43988.032,380.378,9.85,3.135,Site-37,2021-08-27
145,4385.744,122.611,2428.566,1.978,789.417,15.114,111.818,14549.074,24.384,655.101,1.671,1.715,21.051,118.989,85571.189,94.389,7.477,1.702,Site-7,2023-04-06
146,7802.274,270.312,8389.194,8.484,386.94,166.002,402.682,16846.579,85.668,697.509,8.393,0.683,10.622,47.174,62344.81,282.288,5.035,0.217,Site-5,2023-08-20
147,10878.797,504.04,8538.363,11.304,300.419,129.654,239.866,11762.794,26.576,639.27,9.188,1.71,47.397,25.842,35197.782,155.936,7.082,0.943,Site-18,2020-04-27
148,15179.147,313.493,6865.468,0.834,637.607,277.801,281.146,13429.544,77.565,600.4,5.189,1.705,42.861,118.796,47614.07,344.551,5.33,9.287,Site-18,2023-05-28
149,18103.73,413.1,2323.598,44.571,719.923,191.9,229.481,18108.216,4.99,606.554,2.799,1.359,47.854,119.908,90493.928,33.396,5.399,6.084,Site-8,2021-07-15
150,4510.213,569.964,9946.243,41.602,486.367,223.907,217.252,4289.289,73.416,575.467,3.057,0.86,1.797,20.357,43439.26,427.322,8.765,3.513,Site-19,2023-06-07
